"编号","源文件","行","组件/函数","控件","显示文字或动态表达式","点击/输入事件","表单提交","外部表单","禁用条件","显示条件","静态处理路径","所属文件问题（不代表此控件已复现）","证据边界"
"CTRL-0072","src/normalized-ui/ActivityOperationsPanel.tsx","465","ActivityOperationsPanel","form","活动与时间 活动名称 活动类型 会员音乐夜 城市漫步 徒步 露营 音乐野餐 求婚活动 其他 列表摘要 活动详情 开始时间 结束时间 集合地点 人数上限 封面图片（可选） 费用、权益和客群 计价方式 每次报名/每组 每人 预付方式 无需预付 订金可选 必须付订金 必须全额预付 活动费用 订金 付款时限 付款说明 可见范围 所有顾客 所有会员 指定客群 指定会员等级 {memberLevels.map(([code,label]) => <label key={code}><input type=""checkbox"" disabled={draft.visibility !== 'segment'} checked={draft.audienceMemberLevels.includes(code)} onChange={() => updateDraft('audienceMemberLevels', toggle(draft.audienceMemberLevels,code))} />{label}</label>)} 指定会员阶段 {lifecycleStages.map(([code,label]) => <label key={code}><input type=""checkbox"" disabled={draft.visibility !== 'segment'} checked={draft.audienceLifecycleStages.includes(code)} onChange={() => updateDraft('audienceLifecycleSt","{""onSubmit"":""(event) => void saveDraft(event)""}","","","","expanded && detail && draft && canManage","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0073","src/normalized-ui/ActivityOperationsPanel.tsx","467","ActivityOperationsPanel","input","活动名称","{""onChange"":""(event) => updateDraft('title', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0074","src/normalized-ui/ActivityOperationsPanel.tsx","468","ActivityOperationsPanel","select","会员音乐夜 城市漫步 徒步 露营 音乐野餐 求婚活动 其他","{""onChange"":""(event) => updateDraft('kind', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0075","src/normalized-ui/ActivityOperationsPanel.tsx","469","ActivityOperationsPanel","textarea","列表摘要","{""onChange"":""(event) => updateDraft('summary', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0076","src/normalized-ui/ActivityOperationsPanel.tsx","470","ActivityOperationsPanel","textarea","活动详情","{""onChange"":""(event) => updateDraft('activityDetails', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0077","src/normalized-ui/ActivityOperationsPanel.tsx","471","ActivityOperationsPanel","input","开始时间","{""onChange"":""(event) => updateDraft('startsAt', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0078","src/normalized-ui/ActivityOperationsPanel.tsx","472","ActivityOperationsPanel","input","结束时间","{""onChange"":""(event) => updateDraft('endsAt', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0079","src/normalized-ui/ActivityOperationsPanel.tsx","473","ActivityOperationsPanel","input","集合地点","{""onChange"":""(event) => updateDraft('assemblyLocation', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0080","src/normalized-ui/ActivityOperationsPanel.tsx","474","ActivityOperationsPanel","NumberInputWithUnit","人数上限","{""onChange"":""(event) => updateDraft('capacity', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0081","src/normalized-ui/ActivityOperationsPanel.tsx","475","ActivityOperationsPanel","input","封面图片（可选）","{}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0082","src/normalized-ui/ActivityOperationsPanel.tsx","476","ActivityOperationsPanel","MediaAssetPicker","","{""onChange"":""(coverUrl)=>updateDraft('coverUrl',coverUrl)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0083","src/normalized-ui/ActivityOperationsPanel.tsx","479","ActivityOperationsPanel","select","每次报名/每组 每人","{""onChange"":""(event) => updateDraft('feeBasis', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0084","src/normalized-ui/ActivityOperationsPanel.tsx","480","ActivityOperationsPanel","select","无需预付 订金可选 必须付订金 必须全额预付","{""onChange"":""(event) => updateDraft('paymentMode', event.target.value as ActivityPaymentMode)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0085","src/normalized-ui/ActivityOperationsPanel.tsx","481","ActivityOperationsPanel","NumberInputWithUnit","活动费用","{""onChange"":""(event) => updateDraft('feeYuan', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0086","src/normalized-ui/ActivityOperationsPanel.tsx","482","ActivityOperationsPanel","NumberInputWithUnit","订金","{""onChange"":""(event) => updateDraft('depositYuan', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0087","src/normalized-ui/ActivityOperationsPanel.tsx","483","ActivityOperationsPanel","NumberInputWithUnit","付款时限","{""onChange"":""(event) => updateDraft('paymentDeadlineMinutes', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0088","src/normalized-ui/ActivityOperationsPanel.tsx","484","ActivityOperationsPanel","input","付款说明","{""onChange"":""(event) => updateDraft('paymentRuleText', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0089","src/normalized-ui/ActivityOperationsPanel.tsx","485","ActivityOperationsPanel","select","所有顾客 所有会员 指定客群","{""onChange"":""(event) => updateDraft('visibility', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0090","src/normalized-ui/ActivityOperationsPanel.tsx","486","ActivityOperationsPanel","input","{label}","{""onChange"":""() => updateDraft('audienceMemberLevels', toggle(draft.audienceMemberLevels,code))""}","(event) => void saveDraft(event)","","draft.visibility !== 'segment'","","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0091","src/normalized-ui/ActivityOperationsPanel.tsx","487","ActivityOperationsPanel","input","{label}","{""onChange"":""() => updateDraft('audienceLifecycleStages', toggle(draft.audienceLifecycleStages,code))""}","(event) => void saveDraft(event)","","draft.visibility !== 'segment'","","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0092","src/normalized-ui/ActivityOperationsPanel.tsx","488","ActivityOperationsPanel","textarea","会员权益或赠送","{""onChange"":""(event) => updateDraft('memberBenefitText', event.target.value)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0093","src/normalized-ui/ActivityOperationsPanel.tsx","492","ActivityOperationsPanel","input","报名必须选择套餐","{""onChange"":""(event) => updateDraft('packageSelectionRequired', event.target.checked)""}","(event) => void saveDraft(event)","","","expanded && detail && draft && canManage","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0094","src/normalized-ui/ActivityOperationsPanel.tsx","495","ActivityOperationsPanel","button","删除","{""onClick"":""()=>removePackage(index)""}","(event) => void saveDraft(event)","","","","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0095","src/normalized-ui/ActivityOperationsPanel.tsx","496","ActivityOperationsPanel","input","套餐名称","{""onChange"":""(event)=>updatePackage(index,'name',event.target.value)""}","(event) => void saveDraft(event)","","","","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0096","src/normalized-ui/ActivityOperationsPanel.tsx","497","ActivityOperationsPanel","NumberInputWithUnit","名额","{""onChange"":""(event)=>updatePackage(index,'capacity',event.target.value)""}","(event) => void saveDraft(event)","","","","所属表单：(event) => void saveDraft(event)","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
